,id,end_date,start_date,project_id,created_at,updated_at,instructor_updated,active
72,75,2017-10-30 14:59:59,2017-10-26 15:00:00,6,2017-10-27 00:21:13,2017-10-30 15:21:52,1,1
73,76,2017-10-30 14:59:59,2017-10-26 15:00:00,7,2017-10-27 00:21:13,2017-10-30 15:21:53,1,1
74,77,2017-10-30 14:59:59,2017-10-26 15:00:00,8,2017-10-27 00:21:13,2017-10-30 15:21:54,1,1
75,78,2017-10-30 14:59:59,2017-10-26 15:00:00,9,2017-10-27 00:21:13,2017-10-30 15:21:56,1,1
76,79,2017-11-06 14:59:59,2017-11-02 15:00:00,6,2017-11-03 00:21:56,2017-11-06 15:21:26,1,1
77,80,2017-11-06 14:59:59,2017-11-02 15:00:00,7,2017-11-03 00:21:56,2017-11-06 15:21:27,1,1
78,81,2017-11-06 14:59:59,2017-11-02 15:00:00,8,2017-11-03 00:21:56,2017-11-06 15:21:27,1,1
79,82,2017-11-06 14:59:59,2017-11-02 15:00:00,9,2017-11-03 00:21:56,2017-11-06 15:21:28,1,1
80,83,2017-11-13 14:59:59,2017-11-09 15:00:00,6,2017-11-10 00:21:15,2017-11-13 15:21:05,1,1
81,84,2017-11-13 14:59:59,2017-11-09 15:00:00,7,2017-11-10 00:21:15,2017-11-13 15:21:06,1,1
82,85,2017-11-13 14:59:59,2017-11-09 15:00:00,8,2017-11-10 00:21:15,2017-11-13 15:21:06,1,1
83,86,2017-11-13 14:59:59,2017-11-09 15:00:00,9,2017-11-10 00:21:15,2017-11-13 15:21:08,1,1
84,87,2017-11-20 14:59:59,2017-11-16 15:00:00,6,2017-11-17 00:21:00,2017-11-20 15:21:22,1,1
85,88,2017-11-20 14:59:59,2017-11-16 15:00:00,7,2017-11-17 00:21:00,2017-11-20 15:21:22,1,1
86,89,2017-11-20 14:59:59,2017-11-16 15:00:00,8,2017-11-17 00:21:00,2017-11-20 15:21:23,1,1
87,90,2017-11-20 14:59:59,2017-11-16 15:00:00,9,2017-11-17 00:21:00,2017-11-20 15:21:26,1,1
88,91,2017-11-20 05:59:59,2017-11-16 06:00:00,6,2017-11-18 06:02:47,2017-11-20 07:21:15,1,1
89,92,2017-11-20 05:59:59,2017-11-16 06:00:00,7,2017-11-18 06:02:56,2017-11-20 07:21:15,1,1
90,93,2017-11-20 05:59:59,2017-11-16 06:00:00,8,2017-11-18 06:02:56,2017-11-20 07:21:15,1,1
91,94,2017-11-20 05:59:59,2017-11-16 06:00:00,9,2017-11-18 06:02:56,2017-11-20 07:21:16,1,1
92,95,2017-11-27 14:59:59,2017-11-23 15:00:00,6,2017-11-24 00:21:34,2017-11-27 15:21:11,1,1
93,96,2017-11-27 14:59:59,2017-11-23 15:00:00,7,2017-11-24 00:21:34,2017-11-27 15:21:12,1,1
94,97,2017-11-27 14:59:59,2017-11-23 15:00:00,8,2017-11-24 00:21:34,2017-11-27 15:21:12,1,1
95,98,2017-11-27 14:59:59,2017-11-23 15:00:00,9,2017-11-24 00:21:34,2017-11-27 15:21:13,1,1
96,99,2017-12-04 14:59:59,2017-11-30 15:00:00,6,2017-12-01 00:20:58,2017-12-04 15:21:00,1,1
97,100,2017-12-04 14:59:59,2017-11-30 15:00:00,7,2017-12-01 00:20:58,2017-12-04 15:21:01,1,1
98,101,2017-12-04 14:59:59,2017-11-30 15:00:00,8,2017-12-01 00:20:58,2017-12-04 15:21:01,1,1
99,102,2017-12-04 14:59:59,2017-11-30 15:00:00,9,2017-12-01 00:20:59,2017-12-04 15:21:02,1,1
100,103,2017-12-11 14:59:59,2017-12-07 15:00:00,6,2017-12-08 00:20:34,2017-12-11 15:20:48,1,1
101,104,2017-12-11 14:59:59,2017-12-07 15:00:00,8,2017-12-08 00:20:34,2017-12-11 15:20:48,1,1
102,105,2017-12-11 14:59:59,2017-12-07 15:00:00,9,2017-12-08 00:20:34,2017-12-11 15:20:50,1,1
103,106,2017-12-18 14:59:59,2017-12-14 15:00:00,6,2017-12-15 00:20:47,2017-12-18 15:21:20,1,1
104,107,2018-03-26 14:59:00,2018-03-22 15:00:00,10,2018-03-23 00:21:46,2018-03-26 15:21:00,1,1
105,108,2018-03-26 14:59:00,2018-03-22 15:00:00,11,2018-03-23 00:21:46,2018-03-26 15:21:00,1,1
106,109,2018-03-27 14:59:00,2018-03-23 15:00:00,10,2018-03-23 15:21:37,2018-03-27 15:20:28,1,1
107,110,2018-03-27 14:59:00,2018-03-23 15:00:00,11,2018-03-23 15:21:37,2018-03-27 15:20:28,1,1
108,111,2018-04-02 14:59:00,2018-03-29 15:00:00,10,2018-03-30 00:20:54,2018-04-02 15:20:59,1,1
109,112,2018-04-02 14:59:00,2018-03-29 15:00:00,11,2018-03-30 00:20:54,2018-04-02 15:21:00,1,1
110,113,2018-04-03 14:59:00,2018-03-30 15:00:00,10,2018-03-30 15:20:30,2018-04-03 15:21:09,1,1
111,114,2018-04-03 14:59:00,2018-03-30 15:00:00,11,2018-03-30 15:20:30,2018-04-03 15:21:09,1,1
112,115,2018-04-09 14:59:00,2018-04-05 15:00:00,10,2018-04-06 00:20:47,2018-04-09 15:20:51,1,1
113,116,2018-04-09 14:59:00,2018-04-05 15:00:00,11,2018-04-06 00:20:47,2018-04-09 15:20:51,1,1
114,117,2018-04-10 14:59:00,2018-04-06 15:00:00,10,2018-04-06 15:20:26,2018-04-10 15:21:35,1,1
115,118,2018-04-10 14:59:00,2018-04-06 15:00:00,11,2018-04-06 15:20:26,2018-04-10 15:21:35,1,1
116,119,2018-04-16 14:59:00,2018-04-12 15:00:00,10,2018-04-13 00:21:12,2018-04-16 15:20:59,1,1
117,120,2018-04-16 14:59:00,2018-04-12 15:00:00,11,2018-04-13 00:21:12,2018-04-16 15:20:59,1,1
118,121,2018-04-17 14:59:00,2018-04-13 15:00:00,10,2018-04-13 15:20:31,2018-04-17 15:21:04,1,1
119,122,2018-04-17 14:59:00,2018-04-13 15:00:00,11,2018-04-13 15:20:31,2018-04-17 15:21:04,1,1
120,123,2018-04-23 14:59:00,2018-04-19 15:00:00,10,2018-04-19 15:21:26,2018-04-23 15:21:20,1,1
121,124,2018-04-23 14:59:00,2018-04-19 15:00:00,11,2018-04-19 15:21:26,2018-04-23 15:21:21,1,1
