,id,accepted,consent_form_id,user_id,created_at,updated_at,presented
104,105,1.0,1,232,2018-08-29 10:35:43,2018-08-29 10:36:12,1.0
105,106,1.0,1,230,2018-08-29 13:52:49,2018-08-29 13:52:58,1.0
106,107,1.0,1,236,2018-08-30 00:07:27,2018-08-30 00:07:57,1.0
107,108,1.0,1,231,2018-08-30 02:02:34,2018-08-30 02:02:59,1.0
108,109,1.0,1,238,2018-08-31 03:24:19,2018-08-31 03:24:41,1.0
109,110,1.0,1,279,2018-09-02 05:48:57,2018-09-02 05:49:04,1.0
110,111,1.0,1,237,2018-09-04 00:17:55,2018-09-04 00:18:13,1.0
111,112,1.0,1,235,2018-09-04 00:18:59,2018-09-04 00:19:13,1.0
112,113,0.0,1,280,2018-09-04 21:06:19,2018-09-04 21:06:19,
113,114,1.0,1,299,2018-09-06 04:52:02,2018-09-06 04:52:34,1.0
114,115,1.0,1,283,2018-09-06 06:22:17,2018-09-06 09:07:50,1.0
115,116,1.0,1,282,2018-09-06 07:29:57,2018-09-06 07:30:08,1.0
116,117,0.0,1,312,2018-09-06 07:47:12,2018-09-06 07:47:12,
117,118,1.0,1,265,2018-09-06 08:56:45,2018-09-06 09:30:19,1.0
118,119,1.0,1,318,2018-09-08 02:01:59,2018-09-08 02:04:30,1.0
119,120,1.0,1,319,2018-09-10 14:26:01,2018-09-10 14:27:01,1.0
120,121,1.0,1,321,2018-09-10 14:46:26,2018-09-10 14:46:32,1.0
121,122,1.0,1,314,2018-09-11 04:52:06,2018-09-11 04:52:36,1.0
122,123,1.0,1,322,2018-09-11 14:04:18,2018-09-11 14:04:35,1.0
123,124,1.0,1,317,2018-09-12 03:25:58,2018-09-12 03:26:17,1.0
124,125,1.0,1,357,2018-09-12 16:43:46,2018-09-12 16:44:16,1.0
125,126,1.0,1,378,2018-09-12 16:47:47,2018-09-14 18:16:02,1.0
126,127,1.0,1,330,2018-09-12 18:32:08,2018-09-12 18:32:26,1.0
127,128,1.0,1,327,2018-09-13 17:49:39,2018-09-13 17:49:48,1.0
128,129,1.0,1,344,2018-09-13 21:35:43,2018-09-13 21:35:58,1.0
129,130,1.0,1,382,2018-09-13 21:36:02,2018-09-13 21:36:37,1.0
130,131,1.0,1,349,2018-09-13 21:36:04,2018-09-13 21:38:06,1.0
131,132,1.0,1,381,2018-09-13 21:36:13,2018-09-13 21:36:32,1.0
132,133,1.0,1,383,2018-09-13 21:36:26,2018-09-13 21:36:52,1.0
133,134,1.0,1,384,2018-09-13 21:36:31,2018-09-13 21:36:36,1.0
134,135,1.0,1,358,2018-09-13 21:36:34,2018-09-13 21:37:34,1.0
135,136,1.0,1,336,2018-09-13 21:36:39,2018-09-13 21:36:55,1.0
136,137,1.0,1,361,2018-09-13 21:36:55,2018-09-13 21:37:09,1.0
137,138,1.0,1,359,2018-09-13 21:36:55,2018-09-13 21:37:02,1.0
138,139,1.0,1,353,2018-09-13 21:36:59,2018-09-13 21:37:11,1.0
139,140,1.0,1,368,2018-09-13 21:37:34,2018-09-13 21:38:40,1.0
140,141,1.0,1,338,2018-09-13 21:38:16,2018-09-13 21:39:14,1.0
141,142,1.0,1,346,2018-09-13 21:40:05,2018-09-13 21:40:13,1.0
142,143,0.0,1,385,2018-09-13 21:41:16,2018-09-13 21:41:16,
143,144,1.0,1,386,2018-09-13 21:43:46,2018-09-13 21:44:06,1.0
144,145,1.0,1,341,2018-09-13 21:43:56,2018-09-13 21:44:05,1.0
145,146,1.0,1,351,2018-09-13 21:45:06,2018-09-13 21:45:14,1.0
146,147,1.0,1,371,2018-09-13 21:46:58,2018-09-13 21:47:13,1.0
147,148,1.0,1,328,2018-09-13 21:59:52,2018-09-13 22:00:06,1.0
148,149,1.0,1,343,2018-09-13 22:03:44,2018-09-13 22:04:03,1.0
149,150,1.0,1,342,2018-09-14 00:09:24,2018-09-14 00:09:31,1.0
150,151,1.0,1,388,2018-09-14 08:15:36,2018-09-14 08:15:42,1.0
151,152,1.0,1,313,2018-09-14 08:18:08,2018-09-14 08:18:49,1.0
152,153,1.0,1,390,2018-09-14 21:52:07,2018-09-14 21:52:25,1.0
153,154,1.0,1,286,2018-09-16 00:58:25,2018-09-16 00:58:40,1.0
154,155,1.0,1,249,2018-09-16 03:56:20,2018-09-16 03:56:46,1.0
155,156,1.0,1,392,2018-09-16 07:36:00,2018-09-16 07:36:16,1.0
156,157,1.0,1,316,2018-09-16 07:48:29,2018-09-16 07:48:42,1.0
157,158,1.0,1,315,2018-09-16 08:07:51,2018-09-16 08:08:08,1.0
158,159,1.0,1,373,2018-09-16 12:03:54,2018-09-16 12:04:05,1.0
159,160,1.0,1,370,2018-09-16 15:25:45,2018-09-16 15:25:51,1.0
160,161,1.0,1,354,2018-09-16 18:29:16,2018-09-16 18:30:53,1.0
161,162,1.0,1,347,2018-09-16 21:41:00,2018-09-16 21:41:11,1.0
162,163,1.0,1,367,2018-09-16 23:47:51,2018-09-16 23:48:05,1.0
163,164,1.0,1,284,2018-09-17 00:21:08,2018-09-28 01:33:27,1.0
164,165,1.0,1,350,2018-09-17 00:51:47,2018-09-17 00:51:54,1.0
165,166,1.0,1,369,2018-09-17 01:17:36,2018-09-17 01:17:44,1.0
166,167,1.0,1,356,2018-09-17 01:45:42,2018-09-17 01:45:52,1.0
167,168,1.0,1,334,2018-09-17 02:16:03,2018-09-17 02:16:30,1.0
168,169,1.0,1,352,2018-09-17 03:02:09,2018-09-17 03:02:18,1.0
