,id,group_id,name,members,created_at,updated_at
146,148,89,team 2,543 544 545 546 ,2019-09-15 01:29:00,2019-09-15 01:29:00
147,149,90,team 3,538 542 ,2019-09-15 01:29:00,2019-09-15 01:29:00
148,150,91,team 4,536 547 548 549 551 ,2019-09-15 01:29:00,2019-09-15 01:29:00
149,151,90,team 3,535 538 539 542 ,2019-09-15 01:29:22,2019-09-15 01:29:22
150,152,90,team 3,538 539 542 ,2019-09-18 17:04:34,2019-09-18 17:04:34
151,153,88,team 1,537 540 541 550 ,2019-09-19 16:39:48,2019-09-19 16:39:48
152,154,90,team 3,538 542 ,2019-09-20 14:03:57,2019-09-20 14:03:57
153,155,84,team 1,556 563 565 ,2019-09-20 14:51:09,2019-09-20 14:51:09
154,156,86,team 3,552 554 555 558 ,2019-09-20 14:51:09,2019-09-20 14:51:09
155,157,87,team 4,553 562 564 ,2019-09-20 14:51:09,2019-09-20 14:51:09
156,158,89,team 2,543 544 545 546 ,2019-09-25 02:56:39,2019-09-25 02:56:39
157,159,78,team 1,516 517 518 521 526 ,2019-09-25 03:04:56,2019-09-25 03:04:56
158,160,79,team 2,514 520 522 532 ,2019-09-25 03:04:56,2019-09-25 03:04:56
159,161,85,team 2,557 561 566 ,2019-09-25 16:14:23,2019-09-25 16:14:23
160,162,81,team 4,515 525 530 586 587 ,2019-10-10 16:08:57,2019-10-10 16:08:57
161,163,91,team 4,536 547 548 549 551 ,2019-10-14 21:11:39,2019-10-14 21:11:39
162,164,78,JABJS,516 517 518 526 ,2019-10-29 10:32:04,2019-10-29 10:32:04
163,165,93,The Apple Tree,562 607 610 612 ,2020-02-06 14:10:03,2020-02-06 14:10:03
164,166,94,LFKD,555 558 605 608 ,2020-02-06 14:17:26,2020-02-06 14:17:26
165,167,95,MZMS,561 566 606 611 ,2020-02-06 14:19:09,2020-02-06 14:19:09
166,168,96,Crowdsourcing,558 612 647 650 652 ,2020-09-04 01:52:01,2020-09-04 01:52:01
167,169,97,Simulations,555 566 575 610 ,2020-09-04 01:52:01,2020-09-04 01:52:01
168,170,98,Clickers,561 605 606 646 ,2020-09-04 01:52:01,2020-09-04 01:52:01
169,171,99,Database Crew,560 669 ,2020-09-08 14:49:37,2020-09-08 14:49:37
170,172,100,No Name,641 643 667 668 ,2020-09-08 14:49:37,2020-09-08 14:49:37
171,173,99,Database Crew,560 669 682 ,2020-09-08 15:19:42,2020-09-08 15:19:42
172,174,99,Database Crew,560 659 669 682 ,2020-09-09 01:29:17,2020-09-09 01:29:17
173,175,101,no name II,647 652 663 666 ,2020-09-09 01:30:05,2020-09-09 01:30:05
174,176,102,Run-DMT,639 679 681 ,2020-09-09 02:09:24,2020-09-09 02:09:24
175,177,103,??,654 655 671 678 ,2020-09-09 02:09:24,2020-09-09 02:09:24
176,178,104,The Tech Alphas,645 662 674 ,2020-09-09 02:09:24,2020-09-09 02:09:24
177,179,100,No Name,641 643 663 668 ,2020-09-11 12:46:20,2020-09-11 12:46:20
178,180,101,no name II,647 652 666 667 ,2020-09-11 12:46:20,2020-09-11 12:46:20
179,181,99,Database Crew,560 652 659 682 ,2020-09-11 12:48:47,2020-09-11 12:48:47
180,182,100,Data Gang,641 643 667 668 ,2020-09-11 12:48:47,2020-09-11 12:48:47
181,183,101,no name II,647 663 666 669 ,2020-09-11 12:48:47,2020-09-11 12:48:47
182,184,99,Database Crew,647 659 669 682 ,2020-09-11 12:49:41,2020-09-11 12:49:41
183,185,101,no name II,560 652 663 666 ,2020-09-11 12:49:41,2020-09-11 12:49:41
184,186,99,Database Crew,647 659 666 669 ,2020-09-11 12:50:16,2020-09-11 12:50:16
185,187,101,no name II,560 652 663 682 ,2020-09-11 12:50:16,2020-09-11 12:50:16
186,188,102,Run-DMT,639 679 681 685 ,2020-09-11 14:04:04,2020-09-11 14:04:04
187,189,105,ABPX,653 657 675 ,2020-09-11 14:06:02,2020-09-11 14:06:02
188,190,104,The Tech Alphas,645 662 674 676 ,2020-09-11 14:07:48,2020-09-11 14:07:48
189,191,106,No Name I,649 658 661 672 ,2020-09-11 14:07:48,2020-09-11 14:07:48
190,192,107,No Name II,642 656 660 ,2020-09-11 14:07:48,2020-09-11 14:07:48
191,193,105,ABPX,653 657 675 680 ,2020-09-11 17:21:51,2020-09-11 17:21:51
192,194,107,No Name II,642 656 660 690 ,2020-09-11 17:21:51,2020-09-11 17:21:51
193,195,105,ABPX,653 657 664 675 ,2020-09-22 13:51:03,2020-09-22 13:51:03
194,196,106,No Name I,649 658 661 672 680 ,2020-09-22 13:51:03,2020-09-22 13:51:03
195,197,103,??,654 655 671 678 ,2020-09-23 17:06:30,2020-09-23 17:06:30
196,198,107,No Name II,642 656 660 690 ,2020-09-28 01:27:44,2020-09-28 01:27:44
197,199,106,No Name I,649 658 661 672 ,2020-11-03 14:48:01,2020-11-03 14:48:01
198,200,108,The Wayfinders,610 654 671 730 ,2021-02-18 23:07:21,2021-02-18 23:07:21
199,201,109,no name,555 558 575 605 ,2021-02-18 23:09:16,2021-02-18 23:09:16
200,202,109,no name,555 558 575 605 ,2021-02-18 23:10:33,2021-02-18 23:10:33
201,203,110,not decided yet,562 610 659 ,2021-02-19 03:23:12,2021-02-19 03:23:12
202,204,111,No Name I,555 558 574 575 605 ,2021-02-19 03:25:03,2021-02-19 03:25:03
203,205,112,no name II,561 566 612 ,2021-02-19 03:28:32,2021-02-19 03:28:32
204,206,110,not decided yet,562 606 610 659 ,2021-02-19 03:30:28,2021-02-19 03:30:28
205,207,112,no name II,561 566 612 731 ,2021-02-19 03:30:28,2021-02-19 03:30:28
206,208,110,not decided yet,562 606 610 659 ,2021-02-19 18:04:17,2021-02-19 18:04:17
207,209,113,Game Chasers,575 608 671 685 733 ,2021-02-22 04:33:27,2021-02-22 04:33:27
208,210,114,Team 4,554 571 658 734 ,2021-02-22 04:34:48,2021-02-22 04:34:48
209,211,115,no name,731 732 ,2021-02-22 04:37:27,2021-02-22 04:37:27
210,212,115,no name,666 731 732 ,2021-02-22 04:37:49,2021-02-22 04:37:49
211,213,114,Team 4,554 571 658 664 734 ,2021-02-22 04:40:32,2021-02-22 04:40:32
212,214,115,no name,647 666 731 732 ,2021-02-22 04:40:32,2021-02-22 04:40:32
213,215,116,#NoName,606 661 ,2021-02-22 04:49:45,2021-02-22 04:49:45
214,216,108,The Wayfinders,654 671 730 ,2021-02-22 04:50:53,2021-02-22 04:50:53
215,217,116,#NoName,606 647 661 ,2021-02-22 04:50:53,2021-02-22 04:50:53
216,218,117,No Name II,561 566 610 612 ,2021-02-22 04:50:54,2021-02-22 04:50:54
217,219,111,No Name I,555 558 574 575 605 ,2021-02-22 06:46:58,2021-02-22 06:46:58
218,220,112,no name II,561 566 612 731 ,2021-02-24 15:55:35,2021-02-24 15:55:35
219,221,117,No Name II,561 566 610 612 ,2021-03-03 17:12:03,2021-03-03 17:12:03
220,222,109,_____,555 558 575 605 ,2021-03-03 18:49:47,2021-03-03 18:49:47
221,223,115,no name,666 731 732 ,2021-04-06 12:27:34,2021-04-06 12:27:34
222,224,116,#NoName,606 661 ,2021-04-06 12:44:36,2021-04-06 12:44:36
223,225,115,no name,666 732 ,2021-04-10 21:31:26,2021-04-10 21:31:26
224,226,112,Discoverers,561 566 612 ,2021-04-10 21:32:04,2021-04-10 21:32:04
225,227,118,DreamTeam,654 671 787 ,2021-09-14 11:41:44,2021-09-14 11:41:44
226,228,119,Systeam,564 639 649 671 ,2021-09-14 11:42:51,2021-09-14 11:42:51
227,229,120,Team 1,554 661 668 ,2021-09-14 11:42:51,2021-09-14 11:42:51
228,230,121,Sophomore Savages,781 782 783 798 799 ,2021-09-14 11:46:09,2021-09-14 11:46:09
229,231,122,KDJ,776 780 788 ,2021-09-14 11:46:10,2021-09-14 11:46:10
230,232,123,Nameless,639 681 730 ,2021-09-17 00:51:31,2021-09-17 00:51:31
231,233,124,Team Team,554 655 801 ,2021-09-17 00:54:48,2021-09-17 00:54:48
232,234,125,Team 1,777 784 790 800 ,2021-09-17 01:14:01,2021-09-17 01:14:01
233,235,126,Syntax Terror,778 792 794 795 ,2021-09-17 01:16:04,2021-09-17 01:16:04
234,236,122,KDJ,776 780 788 791 ,2021-09-17 01:20:47,2021-09-17 01:20:47
235,237,127,Unnamed,540 676 786 789 793 ,2021-09-19 01:52:36,2021-09-19 01:52:36
236,238,128,Unnamed II,796 797 ,2021-09-19 01:52:36,2021-09-19 01:52:36
237,239,128,Unnamed II,653 664 796 797 ,2021-09-19 01:55:27,2021-09-19 01:55:27
238,240,129,Group 1,789 802 809 ,2021-09-23 13:17:48,2021-09-23 13:17:48
239,241,130,Group 2,807 810 ,2021-09-23 13:17:48,2021-09-23 13:17:48
